A0;< 20
2F51;< 6BDB
2F52;< 6C0F
2F53;< 6C14
2F54;< 6C34
2F55;< 706B
2F56;< 722A
2F57;< 7236
2F58;< 723B
2F59;< 723F
2F5A;< 7247
2F5B;< 7259
2F5C;< 725B
2F5D;< 72AC
2F5E;< 7384
2F5F;< 7389
2F60;< 74DC
2F61;< 74E6
2F62;< 7518
2F63;< 751F
2F64;< 7528
2F65;< 7530
2F66;< 758B
2F67;< 7592
2F68;< 7676
2F69;< 767D
2F6A;< 76AE
2F6B;< 76BF
2F6C;< 76EE
2F6D;< 77DB
2F6E;< 77E2
2F6F;< 77F3
2F70;< 793A
2F71;< 79B8
2F72;< 79BE
2F73;< 7A74
2F74;< 7ACB
2F75;< 7AF9
2F76;< 7C73
2F77;< 7CF8
2F78;< 7F36
2F79;< 7F51
2F7A;< 7F8A
2F7B;< 7FBD
2F7C;< 8001
2F7D;< 800C
2F7E;< 8012
2F7F;< 8033
2F80;< 807F
2F81;< 8089
2F82;< 81E3
2F83;< 81EA
2F84;< 81F3
2F85;< 81FC
2F86;< 820C
2F87;< 821B
2F88;< 821F
2F89;< 826E
2F8A;< 8272
2F8B;< 8278
2F8C;< 864D
2F8D;< 866B
2F8E;< 8840
2F8F;< 884C
2F90;< 8863
2F91;< 897E
2F92;< 898B
2F93;< 89D2
2F94;< 8A00
2F95;< 8C37
2F96;< 8C46
2F97;< 8C55
2F98;< 8C78
2F99;< 8C9D
2F9A;< 8D64
2F9B;< 8D70
2F9C;< 8DB3
2F9D;< 8EAB
2F9E;< 8ECA
2F9F;< 8F9B
2FA0;< 8FB0
2FA1;< 8FB5
2FA2;< 9091
2FA3;< 9149
2FA4;< 91C6
2FA5;< 91CC
2FA6;< 91D1
2FA7;< 9577
2FA8;< 9580
2FA9;< 961C
2FAA;< 96B6
2FAB;< 96B9
2FAC;< 96E8
2FAD;< 9751
2FAE;< 975E
2FAF;< 9762
2FB0;< 9769
2FB1;< 97CB
2FB2;< 97ED
2FB3;< 97F3
2FB4;< 9801
2FB5;< 98A8
2FB6;< 98DB
2FB7;< 98DF
2FB8;< 9996
2FB9;< 9999
2FBA;< 99AC
2FBB;< 9AA8
2FBC;< 9AD8
2FBD;< 9ADF
2FBE;< 9B25
2FBF;< 9B2F
2FC0;< 9B32
2FC1;< 9B3C
2FC2;< 9B5A
2FC3;< 9CE5
2FC4;< 9E75
2FC5;< 9E7F
2FC6;< 9EA5
2FC7;< 9EBB
2FC8;< 9EC3
2FC9;< 9ECD
2FCA;< 9ED1
2FCB;< 9EF9
2FCC;< 9EFD
2FCD;< 9F0E
2FCE;< 9F13
2FCF;< 9F20
2FD0;< 9F3B
2FD1;< 9F4A
2FD2;< 9F52
2FD3;< 9F8D
2FD4;< 9F9C
2FD5;< 9FA0
3000;< 20
3036;< 3012
3038;< 5341
3039;< 5344
303A;< 5345
304C;304B 3099
304E;304D 3099
3050;304F 3099
3052;3051 3099
3054;3053 3099
3056;3055 3099
3058;3057 3099
305A;3059 3099
305C;305B 3099
305E;305D 3099
3060;305F 3099
3062;3061 3099
3065;3064 3099
3067;3066 3099
3069;3068 3099
3070;306F 3099
3071;306F 309A
3073;3072 3099
3074;3072 309A
3076;3075 3099
3077;3075 309A
3079;3078 3099
307A;3078 309A
307C;307B 3099
307D;307B 309A
3094;3046 3099
309B;< 20 3099
309C;< 20 309A
309E;309D 3099
309F;< 3088 308A
30AC;30AB 3099
30AE;30AD 3099
30B0;30AF 3099
30B2;30B1 3099
30B4;30B3 3099
30B6;30B5 3099
30B8;30B7 3099
30BA;30B9 3099
30BC;30BB 3099
30BE;30BD 3099
30C0;30BF 3099
30C2;30C1 3099
30C5;30C4 3099
30C7;30C6 3099
30C9;30C8 3099
30D0;30CF 3099
30D1;30CF 309A
30D3;30D2 3099
30D4;30D2 309A
30D6;30D5 3099
30D7;30D5 309A
30D9;30D8 3099
30DA;30D8 309A
30DC;30DB 3099
30DD;30DB 309A
30F4;30A6 3099
30F7;30EF 3099
30F8;30F0 3099
30F9;30F1 3099
30FA;30F2 3099
30FE;30FD 3099
30FF;< 30B3 30C8
3131;< 1100
3132;< 1101
3133;< 11AA
3134;< 1102
3135;< 11AC
3136;< 11AD
3137;< 1103
3138;< 1104
3139;< 1105
313A;< 11B0
313B;< 11B1
313C;< 11B2
313D;< 11B3
313E;< 11B4
313F;< 11B5
3140;< 111A
3141;< 1106
3142;< 1107
3143;< 1108
3144;< 1121
3145;< 1109
3146;< 110A
3147;< 110B
3148;< 110C
3149;< 110D
314A;< 110E
314B;< 110F
314C;< 1110
314D;< 1111
314E;< 1112
314F;< 1161
3150;< 1162
3151;< 1163
3152;< 1164
3153;< 1165
3154;< 1166
3155;< 1167
3156;< 1168
3157;< 1169
3158;< 116A
3159;< 116B
315A;< 116C
315B;< 116D
315C;< 116E
315D;< 116F
315E;< 1170
315F;< 1171
3160;< 1172
3161;< 1173
3162;< 1174
3163;< 1175
3164;< 1160
3165;< 1114
3166;< 1115
3167;< 11C7
3168;< 11C8
3169;< 11CC
316A;< 11CE
316B;< 11D3
316C;< 11D7
316D;< 11D9
316E;< 111C
316F;< 11DD
3170;< 11DF
3171;< 111D
3172;< 111E
3173;< 1120
3174;< 1122
3175;< 1123
3176;< 1127
3177;< 1129
3178;< 112B
3179;< 112C
317A;< 112D
317B;< 112E
317C;< 112F
317D;< 1132
317E;< 1136
317F;< 1140
3180;< 1147
3181;< 114C
3182;< 11F1
3183;< 11F2
3184;< 1157
3185;< 1158
3186;< 1159
3187;< 1184
3188;< 1185
3189;< 1188
318A;< 1191
318B;< 1192
318C;< 1194
318D;< 119E
318E;< 11A1
3192;< 4E00
3193;< 4E8C
3194;< 4E09
3195;< 56DB
3196;< 4E0A
3197;< 4E2D
3198;< 4E0B
3199;< 7532
319A;< 4E59
319B;< 4E19
319C;< 4E01
319D;< 5929
319E;< 5730
319F;< 4EBA
3200;< 28 1100 29
3201;< 28 1102 29
3202;< 28 1103 29
3203;< 28 1105 29
3204;< 28 1106 29
3205;< 28 1107 29
3206;< 28 1109 29
3207;< 28 110B 29
3208;< 28 110C 29
3209;< 28 110E 29
320A;< 28 110F 29
320B;< 28 1110 29
320C;< 28 1111 29
320D;< 28 1112 29
320E;< 28 1100 1161 29
320F;< 28 1102 1161 29
3210;< 28 1103 1161 29
3211;< 28 1105 1161 29
3212;< 28 1106 1161 29
3213;< 28 1107 1161 29
3214;< 28 1109 1161 29
3215;< 28 110B 1161 29
3216;< 28 110C 1161 29
3217;< 28 110E 1161 29
3218;< 28 110F 1161 29
3219;< 28 1110 1161 29
321A;< 28 1111 1161 29
321B;< 28 1112 1161 29
321C;< 28 110C 116E 29
321D;< 28 110B 1169 110C 1165 11AB 29
321E;< 28 110B 1169 1112 116E 29
3220;< 28 4E00 29
3221;< 28 4E8C 29
3222;< 28 4E09 29
3223;< 28 56DB 29
3224;< 28 4E94 29
3225;< 28 516D 29
3226;< 28 4E03 29
3227;< 28 516B 29
3228;< 28 4E5D 29
3229;< 28 5341 29
322A;< 28 6708 29
322B;< 28 706B 29
322C;< 28 6C34 29
322D;< 28 6728 29
322E;< 28 91D1 29
322F;< 28 571F 29
3230;< 28 65E5 29
3231;< 28 682A 29
3232;< 28 6709 29
3233;< 28 793E 29
3234;< 28 540D 29
3235;< 28 7279 29
3236;< 28 8CA1 29
3237;< 28 795D 29
3238;< 28 52B4 29
3239;< 28 4EE3 29
323A;< 28 547C 29
323B;< 28 5B66 29
323C;< 28 76E3 29
323D;< 28 4F01 29
323E;< 28 8CC7 29
323F;< 28 5354 29
3240;< 28 796D 29
3241;< 28 4F11 29
3242;< 28 81EA 29
3243;< 28 81F3 29
3244;< 554F
3245;< 5E7C
3246;< 6587
3247;< 7B8F
3250;< 50 54 45
3251;< 32 31
3252;< 32 32
3253;< 32 33
3254;< 32 34
3255;< 32 35
3256;< 32 36
3257;< 32 37
3258;< 32 38
3259;< 32 39
325A;< 33 30
325B;< 33 31
325C;< 33 32
325D;< 33 33
325E;< 33 34
325F;< 33 35
3260;< 1100
3261;< 1102
3262;< 1103
3263;< 1105
3264;< 1106
3265;< 1107
3266;< 1109
3267;< 110B
3268;< 110C
3269;< 110E
326A;< 110F
326B;< 1110
326C;< 1111
326D;< 1112
326E;< 1100 1161
326F;< 1102 1161
3270;< 1103 1161
3271;< 1105 1161
3272;< 1106 1161
3273;< 1107 1161
3274;< 1109 1161
3275;< 110B 1161
3276;< 110C 1161
3277;< 110E 1161
3278;< 110F 1161
3279;< 1110 1161
327A;< 1111 1161
327B;< 1112 1161
327C;< 110E 1161 11B7 1100 1169
327D;< 110C 116E 110B 1174
327E;< 110B 116E
3280;< 4E00
3281;< 4E8C
3282;< 4E09
3283;< 56DB
3284;< 4E94
3285;< 516D
3286;< 4E03
3287;< 516B
3288;< 4E5D
3289;< 5341
328A;< 6708
328B;< 706B
328C;< 6C34
328D;< 6728
328E;< 91D1
328F;< 571F
3290;< 65E5
3291;< 682A
3292;< 6709
3293;< 793E
3294;< 540D
3295;< 7279
3296;< 8CA1
3297;< 795D
3298;< 52B4
3299;< 79D8
329A;< 7537
329B;< 5973
329C;< 9069
329D;< 512A
329E;< 5370
329F;< 6CE8
32A0;< 9805
32A1;< 4F11
32A2;< 5199
32A3;< 6B63
32A4;< 4E0A
32A5;< 4E2D
32A6;< 4E0B
32A7;< 5DE6
32A8;< 53F3
32A9;< 533B
32AA;< 5B97
32AB;< 5B66
32AC;< 76E3
32AD;< 4F01
32AE;< 8CC7
32AF;< 5354
32B0;< 591C
32B1;< 33 36
32B2;< 33 37
32B3;< 33 38
32B4;< 33 39
32B5;< 34 30
32B6;< 34 31
32B7;< 34 32
32B8;< 34 33
32B9;< 34 34
32BA;< 34 35
32BB;< 34 36
32BC;< 34 37
32BD;< 34 38
32BE;< 34 39
32BF;< 35 30
32C0;< 31 6708
32C1;< 32 6708
32C2;< 33 6708
32C3;< 34 6708
32C4;< 35 6708
32C5;< 36 6708
32C6;< 37 6708
32C7;< 38 6708
32C8;< 39 6708
32C9;< 31 30 6708
32CA;< 31 31 6708
32CB;< 31 32 6708
32CC;< 48 67
32CD;< 65 72 67
32CE;< 65 56
32CF;< 4C 54 44
32D0;< 30A2
32D1;< 30A4
32D2;< 30A6
32D3;< 30A8
32D4;< 30AA
32D5;< 30AB
32D6;< 30AD
32D7;< 30AF
32D8;< 30B1
32D9;< 30B3
32DA;< 30B5
32DB;< 30B7
32DC;< 30B9
32DD;< 30BB
32DE;< 30BD
32DF;< 30BF
32E0;< 30C1
32E1;< 30C4
32E2;< 30C6
32E3;< 30C8
32E4;< 30CA
32E5;< 30CB
32E6;< 30CC
32E7;< 30CD
32E8;< 30CE
32E9;< 30CF
32EA;< 30D2
32EB;< 30D5
32EC;< 30D8
32ED;< 30DB
32EE;< 30DE
32EF;< 30DF
32F0;< 30E0
32F1;< 30E1
32F2;< 30E2
32F3;< 30E4
32F4;< 30E6
32F5;< 30E8
32F6;< 30E9
32F7;< 30EA
32F8;< 30EB
32F9;< 30EC
32FA;< 30ED
32FB;< 30EF
32FC;< 30F0
32FD;< 30F1
32FE;< 30F2
32FF;< 4EE4 548C
3300;< 30A2 30D1 30FC 30C8
3301;< 30A2 30EB 30D5 30A1
3302;< 30A2 30F3 30DA 30A2
3303;< 30A2 30FC 30EB
3304;< 30A4 30CB 30F3 30B0
3305;< 30A4 30F3 30C1
3306;< 30A6 30A9 30F3
3307;< 30A8 30B9 30AF 30FC 30C9
3308;< 30A8 30FC 30AB 30FC
3309;< 30AA 30F3 30B9
330A;< 30AA 30FC 30E0
330B;< 30AB 30A4 30EA
330C;< 30AB 30E9 30C3 30C8
330D;< 30AB 30ED 30EA 30FC
330E;< 30AC 30ED 30F3
330F;< 30AC 30F3 30DE
3310;< 30AE 30AC
3311;< 30AE 30CB 30FC
3312;< 30AD 30E5 30EA 30FC
3313;< 30AE 30EB 30C0 30FC
3314;< 30AD 30ED
3315;< 30AD 30ED 30B0 30E9 30E0
3316;< 30AD 30ED 30E1 30FC 30C8 30EB
3317;< 30AD 30ED 30EF 30C3 30C8
3318;< 30B0 30E9 30E0
3319;< 30B0 30E9 30E0 30C8 30F3
331A;< 30AF 30EB 30BC 30A4 30ED
331B;< 30AF 30ED 30FC 30CD
331C;< 30B1 30FC 30B9
331D;< 30B3 30EB 30CA
331E;< 30B3 30FC 30DD
331F;< 30B5 30A4 30AF 30EB
3320;< 30B5 30F3 30C1 30FC 30E0
3321;< 30B7 30EA 30F3 30B0
3322;< 30BB 30F3 30C1
3323;< 30BB 30F3 30C8
3324;< 30C0 30FC 30B9
3325;< 30C7 30B7
3326;< 30C9 30EB
3327;< 30C8 30F3
3328;< 30CA 30CE
3329;< 30CE 30C3 30C8
332A;< 30CF 30A4 30C4
332B;< 30D1 30FC 30BB 30F3 30C8
332C;< 30D1 30FC 30C4
332D;< 30D0 30FC 30EC 30EB
332E;< 30D4 30A2 30B9 30C8 30EB
332F;< 30D4 30AF 30EB
3330;< 30D4 30B3
3331;< 30D3 30EB
3332;< 30D5 30A1 30E9 30C3 30C9
3333;< 30D5 30A3 30FC 30C8
3334;< 30D6 30C3 30B7 30A7 30EB
3335;< 30D5 30E9 30F3
3336;< 30D8 30AF 30BF 30FC 30EB
3337;< 30DA 30BD
3338;< 30DA 30CB 30D2
3339;< 30D8 30EB 30C4
333A;< 30DA 30F3 30B9
333B;< 30DA 30FC 30B8
333C;< 30D9 30FC 30BF
333D;< 30DD 30A4 30F3 30C8
333E;< 30DC 30EB 30C8
333F;< 30DB 30F3
3340;< 30DD 30F3 30C9
3341;< 30DB 30FC 30EB
3342;< 30DB 30FC 30F3
3343;< 30DE 30A4 30AF 30ED
3344;< 30DE 30A4 30EB
3345;< 30DE 30C3 30CF
3346;< 30DE 30EB 30AF
3347;< 30DE 30F3 30B7 30E7 30F3
3348;< 30DF 30AF 30ED 30F3
3349;< 30DF 30EA
334A;< 30DF 30EA 30D0 30FC 30EB
334B;< 30E1 30AC
334C;< 30E1 30AC 30C8 30F3
334D;< 30E1 30FC 30C8 30EB
334E;< 30E4 30FC 30C9
334F;< 30E4 30FC 30EB
3350;< 30E6 30A2 30F3
3351;< 30EA 30C3 30C8 30EB
3352;< 30EA 30E9
3353;< 30EB 30D4 30FC
3354;< 30EB 30FC 30D6 30EB
3355;< 30EC 30E0
3356;< 30EC 30F3 30C8 30B2 30F3
3357;< 30EF 30C3 30C8
3358;< 30 70B9
3359;< 31 70B9
335A;< 32 70B9
335B;< 33 70B9
335C;< 34 70B9
335D;< 35 70B9
335E;< 36 70B9
335F;< 37 70B9
3360;< 38 70B9
3361;< 39 70B9
3362;< 31 30 70B9
3363;< 31 31 70B9
3364;< 31 32 70B9
3365;< 31 33 70B9
3366;< 31 34 70B9
3367;< 31 35 70B9
3368;< 31 36 70B9
3369;< 31 37 70B9
336A;< 31 38 70B9
336B;< 31 39 70B9
336C;< 32 30 70B9
336D;< 32 31 70B9
336E;< 32 32 70B9
336F;< 32 33 70B9
3370;< 32 34 70B9
3371;< 68 50 61
3372;< 64 61
3373;< 41 55
3374;< 62 61 72
3375;< 6F 56
3376;< 70 63
3377;< 64 6D
3378;< 64 6D B2
3379;< 64 6D B3
337A;< 49 55
337B;< 5E73 6210
337C;< 662D 548C
337D;< 5927 6B63
337E;< 660E 6CBB
337F;< 682A 5F0F 4F1A 793E
3380;< 70 41
3381;< 6E 41
3382;< 3BC 41
3383;< 6D 41
3384;< 6B 41
3385;< 4B 42
3386;< 4D 42
3387;< 47 42
3388;< 63 61 6C
3389;< 6B 63 61 6C
338A;< 70 46
338B;< 6E 46
338C;< 3BC 46
338D;< 3BC 67
338E;< 6D 67
338F;< 6B 67
3390;< 48 7A
3391;< 6B 48 7A
3392;< 4D 48 7A
3393;< 47 48 7A
3394;< 54 48 7A
3395;< 3BC 2113
3396;< 6D 2113
3397;< 64 2113
3398;< 6B 2113
3399;< 66 6D
339A;< 6E 6D
339B;< 3BC 6D
339C;< 6D 6D
339D;< 63 6D
339E;< 6B 6D
339F;< 6D 6D B2
33A0;< 63 6D B2
33A1;< 6D B2
33A2;< 6B 6D B2
33A3;< 6D 6D B3
33A4;< 63 6D B3
33A5;< 6D B3
33A6;< 6B 6D B3
33A7;< 6D 2215 73
33A8;< 6D 2215 73 B2
33A9;< 50 61
33AA;< 6B 50 61
33AB;< 4D 50 61
33AC;< 47 50 61
33AD;< 72 61 64
33AE;< 72 61 64 2215 73
33AF;< 72 61 64 2215 73 B2
33B0;< 70 73
33B1;< 6E 73
33B2;< 3BC 73
33B3;< 6D 73
33B4;< 70 56
33B5;< 6E 56
33B6;< 3BC 56
33B7;< 6D 56
33B8;< 6B 56
33B9;< 4D 56
33BA;< 70 57
33BB;< 6E 57
33BC;< 3BC 57
33BD;< 6D 57
33BE;< 6B 57
33BF;< 4D 57
33C0;< 6B 3A9
33C1;< 4D 3A9
33C2;< 61 2E 6D 2E
33C3;< 42 71
33C4;< 63 63
33C5;< 63 64
33C6;< 43 2215 6B 67
33C7;< 43 6F 2E
33C8;< 64 42
33C9;< 47 79
33CA;< 68 61
33CB;< 48 50
33CC;< 69 6E
33CD;< 4B 4B
33CE;< 4B 4D
33CF;< 6B 74
33D0;< 6C 6D
33D1;< 6C 6E
33D2;< 6C 6F 67
33D3;< 6C 78
33D4;< 6D 62
33D5;< 6D 69 6C
33D6;< 6D 6F 6C
33D7;< 50 48
33D8;< 70 2E 6D 2E
33D9;< 50 50 4D
33DA;< 50 52
33DB;< 73 72
33DC;< 53 76
33DD;< 57 62
33DE;< 56 2215 6D
33DF;< 41 2215 6D
33E0;< 31 65E5
33E1;< 32 65E5
33E2;< 33 65E5
33E3;< 34 65E5
33E4;< 35 65E5
33E5;< 36 65E5
33E6;< 37 65E5
33E7;< 38 65E5
33E8;< 39 65E5
33E9;< 31 30 65E5
33EA;< 31 31 65E5
33EB;< 31 32 65E5
33EC;< 31 33 65E5
33ED;< 31 34 65E5
33EE;< 31 35 65E5
33EF;< 31 36 65E5
33F0;< 31 37 65E5
33F1;< 31 38 65E5
33F2;< 31 39 65E5
33F3;< 32 30 65E5
33F4;< 32 31 65E5
33F5;< 32 32 65E5
33F6;< 32 33 65E5
33F7;< 32 34 65E5
33F8;< 32 35 65E5
33F9;< 32 36 65E5
33FA;< 32 37 65E5
33FB;< 32 38 65E5
33FC;< 32 39 65E5
33FD;< 33 30 65E5
33FE;< 33 31 65E5
33FF;< 67 61 6C
A69C;< 44A
A69D;< 44C
A770;< A76F
A7F8;< 126
A7F9;< 153
AB5C;< A727
AB5D;< AB37
AB5E;< 26B
AB5F;< AB52
AB69;< 28D
F900;8C48
F901;66F4
F902;8ECA
F903;8CC8
F904;6ED1
F905;4E32
F906;53E5
F907;9F9C
F908;9F9C
F909;5951
F90A;91D1
F90B;5587
F90C;5948
F90D;61F6
F90E;7669
F90F;7F85
F910;863F
F911;87BA
F912;88F8
F913;908F
F914;6A02
F915;6D1B
F916;70D9
F917;73DE
F918;843D
F919;916A
F91A;99F1
F91B;4E82
F91C;5375
F91D;6B04
F91E;721B
F91F;862D
F920;9E1E
F921;5D50
F922;6FEB
F923;85CD
F924;8964
F925;62C9
F926;81D8
F927;881F
F928;5ECA
F929;6717
F92A;6D6A
F92B;72FC
F92C;90CE
F92D;4F86
F92E;51B7
F92F;52DE
F930;64C4
F931;6AD3
F932;7210
F933;76E7
F934;8001
F935;8606
F936;865C
F937;8DEF
F938;9732
F939;9B6F
F93A;9DFA
F93B;788C
F93C;797F
F93D;7DA0
F93E;83C9
F93F;9304
F940;9E7F
F941;8AD6
F942;58DF
F943;5F04
F944;7C60
F945;807E
F946;7262
F947;78CA
F948;8CC2
F949;96F7
F94A;58D8
F94B;5C62
F94C;6A13
F94D;6DDA
F94E;6F0F
F94F;7D2F
F950;7E37
F951;964B
F952;52D2
F953;808B
F954;51DC
F955;51CC
F956;7A1C
F957;7DBE
F958;83F1
F959;9675
F95A;8B80
F95B;62CF
F95C;6A02
F95D;8AFE
F95E;4E39
F95F;5BE7
F960;6012
F961;7387
F962;7570
F963;5317
F964;78FB
F965;4FBF
F966;5FA9
F967;4E0D
F968;6CCC
F969;6578
F96A;7D22
F96B;53C3
F96C;585E
F96D;7701
F96E;8449
F96F;8AAA
F970;6BBA
F971;8FB0
F972;6C88
F973;62FE
F974;82E5
F975;63A0
F976;7565
F977;4EAE
F978;5169
F979;51C9
F97A;6881
F97B;7CE7
F97C;826F
F97D;8AD2
F97E;91CF
F97F;52F5
F980;5442
F981;5973
F982;5EEC
F983;65C5
F984;6FFE
F985;792A
F986;95AD
F987;9A6A
F988;9E97
F989;9ECE
F98A;529B
F98B;66C6
F98C;6B77
F98D;8F62
F98E;5E74
F98F;6190
F990;6200
F991;649A
F992;6F23
F993;7149
F994;7489
F995;79CA
F996;7DF4
F997;806F
F998;8F26
F999;84EE
F99A;9023
F99B;934A
F99C;5217
F99D;52A3
F99E;54BD
F99F;70C8
F9A0;88C2
F9A1;8AAA
F9A2;5EC9
F9A3;5FF5
F9A4;637B
F9A5;6BAE
F9A6;7C3E
F9A7;7375
F9A8;4EE4
F9A9;56F9
F9AA;5BE7
F9AB;5DBA
F9AC;601C
F9AD;73B2
F9AE;7469
F9AF;7F9A
F9B0;8046
F9B1;9234
F9B2;96F6
F9B3;9748
F9B4;9818
F9B5;4F8B
F9B6;79AE
F9B7;91B4
F9B8;96B8
F9B9;60E1
F9BA;4E86
F9BB;50DA
F9BC;5BEE
F9BD;5C3F
F9BE;6599
F9BF;6A02
F9C0;71CE
F9C1;7642
F9C2;84FC
F9C3;907C
F9C4;9F8D
F9C5;6688
F9C6;962E
F9C7;5289
F9C8;677B
F9C9;67F3
F9CA;6D41
F9CB;6E9C
F9CC;7409
F9CD;7559
F9CE;786B
F9CF;7D10
F9D0;985E
F9D1;516D
F9D2;622E
F9D3;9678
F9D4;502B
F9D5;5D19
F9D6;6DEA
F9D7;8F2A
F9D8;5F8B
F9D9;6144
F9DA;6817
F9DB;7387
F9DC;9686
F9DD;5229
F9DE;540F
F9DF;5C65
F9E0;6613
F9E1;674E
F9E2;68A8
F9E3;6CE5
F9E4;7406
F9E5;75E2
F9E6;7F79
F9E7;88CF
F9E8;88E1
F9E9;91CC
F9EA;96E2
F9EB;533F
F9EC;6EBA
F9ED;541D
F9EE;71D0
F9EF;7498
F9F0;85FA
F9F1;96A3
F9F2;9C57
F9F3;9E9F
F9F4;6797
F9F5;6DCB
F9F6;81E8
F9F7;7ACB
F9F8;7B20
F9F9;7C92
F9FA;72C0
F9FB;7099
F9FC;8B58
F9FD;4EC0
F9FE;8336
F9FF;523A
FA00;5207
FA01;5EA6
FA02;62D3
FA03;7CD6
FA04;5B85
FA05;6D1E
FA06;66B4
FA07;8F3B
FA08;884C
FA09;964D
FA0A;898B
FA0B;5ED3
FA0C;5140
FA0D;55C0
FA10;585A
FA12;6674
FA15;51DE
FA16;732A
FA17;76CA
FA18;793C
FA19;795E
FA1A;7965
FA1B;798F
FA1C;9756
FA1D;7CBE
FA1E;7FBD
FA20;8612
FA22;8AF8
FA25;9038
FA26;90FD
FA2A;98EF
FA2B;98FC
FA2C;9928
FA2D;9DB4
FA2E;90DE
FA2F;96B7
FA30;4FAE
FA31;50E7
FA32;514D
FA33;52C9
FA34;52E4
FA35;5351
FA36;559D
FA37;5606
FA38;5668
FA39;5840
FA3A;58A8
FA3B;5C64
FA3C;5C6E
FA3D;6094
FA3E;6168
FA3F;618E
FA40;61F2
FA41;654F
FA42;65E2
FA43;6691
FA44;6885
FA45;6D77
FA46;6E1A
FA47;6F22
FA48;716E
FA49;722B
FA4A;7422
FA4B;7891
FA4C;793E
FA4D;7949
FA4E;7948
FA4F;7950
FA50;7956
FA51;795D
FA52;798D
FA53;798E
FA54;7A40
FA55;7A81
FA56;7BC0
FA57;7DF4
FA58;7E09
FA59;7E41
FA5A;7F72
FA5B;8005
FA5C;81ED
FA5D;8279
FA5E;8279
FA5F;8457
FA60;8910
FA61;8996
FA62;8B01
FA63;8B39
FA64;8CD3
FA65;8D08
FA66;8FB6
FA67;9038
FA68;96E3
FA69;97FF
FA6A;983B
FA6B;6075
FA6C;242EE
FA6D;8218
FA70;4E26
FA71;51B5
FA72;5168
FA73;4F80
FA74;5145
FA75;5180
FA76;52C7
FA77;52FA
FA78;559D
FA79;5555
FA7A;5599
FA7B;55E2
FA7C;585A
FA7D;58B3
FA7E;5944
FA7F;5954
FA80;5A62
FA81;5B28
FA82;5ED2
FA83;5ED9
FA84;5F69
FA85;5FAD
FA86;60D8
FA87;614E
FA88;6108
FA89;618E
FA8A;6160
FA8B;61F2
FA8C;6234
FA8D;63C4
FA8E;641C
FA8F;6452
FA90;6556
FA91;6674
FA92;6717
FA93;671B
FA94;6756
FA95;6B79
FA96;6BBA
FA97;6D41
FA98;6EDB
FA99;6ECB
FA9A;6F22
FA9B;701E
FA9C;716E
FA9D;77A7
FA9E;7235
FA9F;72AF
FAA0;732A
FAA1;7471
FAA2;7506
FAA3;753B
FAA4;761D
FAA5;761F
FAA6;76CA
FAA7;76DB
FAA8;76F4
FAA9;774A
FAAA;7740
FAAB;78CC
FAAC;7AB1
FAAD;7BC0
FAAE;7C7B
FAAF;7D5B
FAB0;7DF4
FAB1;7F3E
FAB2;8005
FAB3;8352
FAB4;83EF
FAB5;8779
FAB6;8941
FAB7;8986
FAB8;8996
FAB9;8ABF
FABA;8AF8
FABB;8ACB
FABC;8B01
FABD;8AFE
FABE;8AED
FABF;8B39
FAC0;8B8A
FAC1;8D08
FAC2;8F38
FAC3;9072
FAC4;9199
FAC5;9276
FAC6;967C
FAC7;96E3
FAC8;9756
FAC9;97DB
FACA;97FF
FACB;980B
FACC;983B
FACD;9B12
FACE;9F9C
FACF;2284A
FAD0;22844
FAD1;233D5
FAD2;3B9D
FAD3;4018
FAD4;4039
FAD5;25249
FAD6;25CD0
FAD7;27ED3
FAD8;9F43
FAD9;9F8E
FB00;< 66 66
FB01;< 66 69
FB02;< 66 6C
FB03;< 66 66 69
FB04;< 66 66 6C
FB05;< 17F 74
FB06;< 73 74
FB13;< 574 576
FB14;< 574 565
FB15;< 574 56B
FB16;< 57E 576
FB17;< 574 56D
FB1D;5D9 5B4
FB1F;5F2 5B7
FB20;< 5E2
FB21;< 5D0
FB22;< 5D3
FB23;< 5D4
FB24;< 5DB
FB25;< 5DC
FB26;< 5DD
FB27;< 5E8
FB28;< 5EA
FB29;< 2B
FB2A;5E9 5C1
FB2B;5E9 5C2
FB2C;FB49 5C1
FB2D;FB49 5C2
FB2E;5D0 5B7
FB2F;5D0 5B8
FB30;5D0 5BC
FB31;5D1 5BC
FB32;5D2 5BC
FB33;5D3 5BC
FB34;5D4 5BC
FB35;5D5 5BC
FB36;5D6 5BC
FB38;5D8 5BC
FB39;5D9 5BC
FB3A;5DA 5BC
FB3B;5DB 5BC
FB3C;5DC 5BC
FB3E;5DE 5BC
FB40;5E0 5BC
FB41;5E1 5BC
FB43;5E3 5BC
FB44;5E4 5BC
FB46;5E6 5BC
FB47;5E7 5BC
FB48;5E8 5BC
FB49;5E9 5BC
FB4A;5EA 5BC
FB4B;5D5 5B9
FB4C;5D1 5BF
FB4D;5DB 5BF
FB4E;5E4 5BF
FB4F;< 5D0 5DC
FB50;< 671
FB51;< 671
FB52;< 67B
FB53;< 67B
FB54;< 67B
FB55;< 67B
FB56;< 67E
FB57;< 67E
FB58;< 67E
FB59;< 67E
FB5A;< 680
FB5B;< 680
FB5C;< 680
FB5D;< 680
FB5E;< 67A
FB5F;< 67A
FB60;< 67A
FB61;< 67A
FB62;< 67F
FB63;< 67F
FB64;< 67F
FB65;< 67F
FB66;< 679
FB67;< 679
FB68;< 679
FB69;< 679
